Address,Type,住宅宿泊施設名
大田区西蒲田七丁目36番７－502号,住宅宿泊,
大田区蒲田本町二丁目７番15－101号,住宅宿泊,
大田区大森東二丁目１番８－102・201・202・206・301・305・306・ 401・406号,特区民泊,ID STAY 大森
大田区大森東四丁目13番７－101～103号,特区民泊,テラスハウス大森
大田区大森中一丁目３番３－201～203・301～303・401～403・ 501～503・601～603・701～703・801～803・901～903号,特区民泊,Maison PHILIPPE
大田区大森中三丁目24番10－101・201・301号,特区民泊,PRISM Inn KAMATA
大田区大森西二丁目２番20号,特区民泊,TOKYO  HOUSE
大田区大森西二丁目６番４－201号,特区民泊,エガワビル
大田区大森西二丁目12番19－101～103・105・106・201～203・ 205・206・301～303・305・306号,特区民泊,M-1 Tokyo 大森西２
大田区大森西二丁目25番13号,特区民泊,ＯＭＭ  ＳＴＡＹ
大田区大森西二丁目33番13号,特区民泊,COCORO KAMATA
大田区大森西三丁目４番16号,特区民泊,エスポワール大森町
大田区大森西三丁目13番13号,特区民泊,エアトリステイ大森町
大田区大森西三丁目27番11号(１階),特区民泊,京縁001(kyoen 001)
大田区大森西三丁目27番11号(２階),特区民泊,京縁002(kyoen 002)
大田区大森西四丁目12番13号（１階）,特区民泊,オニタビハウス
大田区大森西五丁目19番４－101～103・201～203・301～303号,特区民泊,M-1 Tokyo 大森西５
大田区大森西五丁目23番５号（１階・２階）,特区民泊,UME5235
大田区大森西六丁目12番５号（１階）,特区民泊,パークテラス緑の風
大田区大森北一丁目19番20－302号,特区民泊,パークレジデンス大森
大田区大森北二丁目４番７号（３階）,特区民泊,MY Tokyo Home Omori♯1
大田区大森北二丁目５番７－201号,特区民泊,ID STAY 大森２
大田区大森北六丁目１番８号（１階）,特区民泊,BEST  HOUSE
大田区大森北六丁目３番22号１階２号室,特区民泊,Heiwajima guesthouse
大田区大森北六丁目15番８号,特区民泊,平和島ハウス
大田区大森北六丁目30番16－201号,特区民泊,平和アパートメント
"大田区大森本町二丁目４番10－101・201～203・301～303・401
～403号",特区民泊,VACATION INN HEIWAJIMA Ⅰ(バケーション・イン平和島Ⅰ）
大田区大森本町二丁目７番20－202号,特区民泊,グレース平和島
大田区大森本町二丁目19番12－101・102・201号,特区民泊,PATRIE OHMORI Ⅱ
大田区大森本町二丁目30番15－101・201・301号,特区民泊,シャンツェ大森
大田区山王一丁目１番８－206・304号,特区民泊,山王濱栖鳳
大田区山王三丁目３番４－１A・１B・２A・２B・２D・３A・３B・３D・４ A・４B・4D・５A・５B・５D号,特区民泊,THE  AOCA  TOKYO  山王
大田区東馬込一丁目12番12号,特区民泊,ＫＯＭＩＮＫＡ
大田区東馬込一丁目33番16号,特区民泊,コンバーテル東馬込
大田区南馬込二丁目９番11号（１階・２階）,特区民泊,大福ハウス
大田区南馬込五丁目31番10号（１階）,特区民泊,Terminal A01
大田区北馬込二丁目25番４号（１階）,特区民泊,茨田民泊
大田区中央四丁目16番８－101・102・103・105・307号,特区民泊,ホテル  ビッグフォレスト
大田区中央八丁目28番１－302号,特区民泊,Pebliss翔・壱（ピブリスカケル・イチ）
大田区池上三丁目35番４－101・102・201～206・301～306号,特区民泊,ジェノビア池上スカイガーデン
大田区池上五丁目３番５号,特区民泊,池上の家
大田区池上六丁目42番６号,特区民泊,ゼウス池上
大田区北嶺町32番17－103・202号,特区民泊,ソフィアステージ御嶽山
大田区田園調布南２番11号（2階）,特区民泊,Balian Rose
大田区田園調布南18番18－206・301号,特区民泊,田園調布南ビル206、301号室
大田区千鳥二丁目２番８－102・103・105・201～203・205・301～ 303・305号,特区民泊,M‐1 Tokyo 千鳥
大田区千鳥二丁目６番13号（１階）,特区民泊,Enjoy locallife in Tokyo
"大田区千鳥三丁目13番12－101・102・201～205・301～305・401
～405・501～505・601～605・701～705・801～803号",特区民泊,ヴォーガコルテ千鳥町
"大田区久が原一丁目２番16－101～103・105～108・110・111・ 201～203・205～208・210・211・301～303・305～308・
310・311号",特区民泊,M-1 Tokyo 久が原
大田区久が原三丁目30番11－201・202・203号,特区民泊,東京秘密基地
大田区北千束一丁目56番９号２号室,特区民泊,コミチテラス大岡山２号室
大田区仲池上二丁目19番19号（１階）,特区民泊,川田邸
大田区東雪谷二丁目８番２－201～205・301～305・401～405・ 501～505・601～604・701～704・801号,特区民泊,AXAS STAY石川台
大田区東糀谷二丁目８番13－101～103・105・201～203・205・ 301～303・305号,特区民泊,M‐1 Tokyo 東糀谷
大田区西糀谷一丁目８番14－101～103・201～203・301～303号,特区民泊,M‐1 Tokyo 西糀谷１
大田区西糀谷一丁目９番11－101号,特区民泊,雅
大田区西糀谷一丁目９番11－105号,特区民泊,シーフォルム京急蒲田
大田区西糀谷一丁目９番11－301号,特区民泊,SYFORME KEIKYU-KAMATA
大田区西糀谷一丁目９番11－303号,特区民泊,シーフォルム
大田区西糀谷一丁目９番11－406号,特区民泊,シーフォルム京急蒲田
大田区西糀谷一丁目９番11－407号,特区民泊,SYFORME KEIKYU-KAMATA（シーフォルム京急蒲田）407
大田区西糀谷一丁目９番11－504号,特区民泊,SYFORME KEIKYU-KAMATA
大田区西糀谷一丁目19番３－101～103・105・201～203・205・ 206・301～303・305・306号,特区民泊,M-1 Tokyo 西糀谷1-Ⅱ
大田区西糀谷二丁目８番９号,特区民泊,ナオトコ民泊
大田区西糀谷二丁目10番14－105～107・201～207・301～307・ 401～407・501～506・601～604号,特区民泊,ユニバーサル羽田
大田区西糀谷三丁目４番５－302号,特区民泊,エルドール西糀谷
大田区西糀谷三丁目31番12－101～103・105・201～203・205・ 301～303号,特区民泊,M‐1 Tokyo 西糀谷３
大田区西糀谷四丁目４番24－101～103・105・201～203・205・ 206・301～303・305・306号,特区民泊,M‐1 Tokyo 西糀谷４
大田区西糀谷四丁目７番16号（１階・２階）,特区民泊,TSUMUGI  HOUSE
大田区西糀谷四丁目31番３－101・201・202・303・402号,特区民泊,IMPEST STAY Tokyo Kamata
大田区西糀谷四丁目31番３－102・103・105・203・205・301・302・ 305・401・403・405・501～503・601～603号,特区民泊,IMPEST STAY Tokyo Kamata
大田区羽田二丁目20番８号,特区民泊,MIC’s  house羽田2
大田区羽田三丁目３番15－305号,特区民泊,delamo room 305
大田区羽田四丁目５番５号,特区民泊,サムライハウス幸村荘
大田区羽田四丁目10番２号,特区民泊,ID STAY羽田Ⅱ
大田区羽田五丁目16番７号,特区民泊,Pebliss陽（Hinata）壱
大田区羽田五丁目20番５－101・102・201・202・301・302号,特区民泊,M-1 Tokyo 羽田5-Ⅱ
大田区羽田五丁目20番11－101～103・201～203・301～303号,特区民泊,M‐1 Tokyo 羽田
大田区羽田六丁目12番７号,特区民泊,The Guest House ‘SAMURAI’
大田区羽田六丁目16番12号,特区民泊,ID STAY 羽田
大田区本羽田一丁目５番４号,特区民泊,コンバーテル本羽田
大田区萩中一丁目６番18号,特区民泊,京縁
大田区萩中三丁目９番２－301号,特区民泊,ヴァン・ヴェールＨＡＮＥＤＡ
大田区萩中三丁目９番13－101号,特区民泊,さくらすてい大鳥居
大田区萩中三丁目27番16号,特区民泊,Yasuragi
大田区東六郷一丁目４番７－104・204号,特区民泊,XEBEC（ジーベック）京急蒲田
大田区東六郷一丁目18番７号,特区民泊,Owl House（アウルハウス）
大田区東六郷一丁目22番５号,特区民泊,東六郷 WHITE
大田区東六郷一丁目22番５号,特区民泊,東六郷 BLACK
大田区東六郷三丁目19番４－101～103・105・201～203・205・ 301～303・305号,特区民泊,M-1 Tokyo 東六郷
大田区東六郷三丁目23番12号,特区民泊,足跡 ASHIATO
大田区西六郷一丁目15番１－202号,特区民泊,Ｏｌｉｖｅ（オリーブ）
大田区西六郷一丁目46番10号,特区民泊,The Guest House ‘KABUKI’
大田区西六郷二丁目16番20号,特区民泊,Shitamashi Club Rokugo
大田区西六郷三丁目３番10－101～103・105・201～203・205・ 301～303号,特区民泊,M‐1 Tokyo 西六郷３
大田区南六郷二丁目８番16－101・103・201・203・301・303号,特区民泊,M-1 Tokyo 南六郷
大田区仲六郷一丁目28番１号,特区民泊,金沢宅  民泊施設
大田区仲六郷二丁目29番６号,特区民泊,Eternity 蒲田
大田区仲六郷二丁目29番７号（３階Ａ号室・３階Ｂ号室）,特区民泊,SGハウス Tokyo Ota
大田区仲六郷二丁目34番４－101～103・201～203・301～303号,特区民泊,M-1 Tokyo 仲六郷
大田区下丸子一丁目14番７号,特区民泊,guest house Furari shimomaruko
大田区下丸子一丁目14番22－101～103・105・106・201～203・ 205・206・301～303・305・306号,特区民泊,M-1 Tokyo 下丸子
大田区下丸子三丁目25番18号,特区民泊,ハウス悠愛 下丸子
大田区矢口一丁目14番12－201号,特区民泊,MASAKIYA HOUSE
大田区矢口二丁目１番27－101～103・201～203・301～303号,特区民泊,M‐1 Tokyo 矢口
大田区矢口二丁目28番９－501号,特区民泊,矢口フラワーマンション  501号室
大田区東矢口二丁目４番10－101・102・201～203・301～303・ 401～403号,特区民泊,M‐1 Tokyo 東矢口２
大田区東矢口三丁目31番２－102・103・105～107・201～203・ 205～207・301～303・305～307号,特区民泊,M-1 Tokyo 東矢口３
大田区多摩川一丁目６番26号（２階）,特区民泊,Gallery House 1
大田区多摩川一丁目６番26号（３階）,特区民泊,Gallery House 2
大田区東蒲田一丁目10番４－201号,特区民泊,フタバハイツ  201号室
大田区東蒲田一丁目21番15－1202号,特区民泊,東蒲田ColorBee Hostel
大田区東蒲田一丁目22番９号,特区民泊,Tokyo House Kamata A
大田区東蒲田二丁目６番17号,特区民泊,Tokyo Family 001（東京家族001）
大田区東蒲田二丁目７番５－101・102・202号,特区民泊,TMビル
大田区南蒲田一丁目７番４号,特区民泊,satoie kamata private villa
大田区南蒲田一丁目７番７号,特区民泊,Homies House HANEDA
大田区南蒲田一丁目７番22－201号,特区民泊,メゾン高平
大田区南蒲田一丁目15番７－101号,特区民泊,グラートテラス
大田区南蒲田一丁目18番６号,特区民泊,Guest house Haneda Airport
大田区南蒲田二丁目11番22号,特区民泊,Happiness Home-1
大田区南蒲田二丁目28番27－303号,特区民泊,プリマヴェーラ303
大田区南蒲田三丁目10番７号,特区民泊,Smile Inn Tokyo-Kojiya
大田区西蒲田三丁目21番16－２－B号,特区民泊,アレイン２－B号室
大田区西蒲田四丁目２番２号,特区民泊,木下邸
大田区西蒲田四丁目25番13－202号,特区民泊,西蒲田ColorBee House
大田区西蒲田五丁目11番９号,特区民泊,グローバルハウス
大田区西蒲田六丁目９番10－101号,特区民泊,Leopalace TOKYO KAMATA（レオパレス東京蒲田）
大田区西蒲田七丁目14番１－203・303・403・603・703号,特区民泊,株式会社弘城  西社宅
大田区西蒲田七丁目36番７－402号,特区民泊,ミソノプラザ
大田区西蒲田七丁目42番７－202・303・403号,特区民泊,SPACE  KURO
大田区西蒲田七丁目42番７－502号,特区民泊,エイビス西蒲田ビル  502号
大田区西蒲田七丁目60番３－403号,特区民泊,みせんビル  403号
大田区西蒲田八丁目４番２－706号,特区民泊,XEBEC（ジーベック）蒲田Station-exe.706
大田区蒲田一丁目８番14号,特区民泊,三正ハウス
大田区蒲田二丁目13番10号,特区民泊,梅屋敷の館
大田区蒲田三丁目14番６－101～103・201～203・301～303号,特区民泊,M‐1 Tokyo 蒲田
大田区蒲田四丁目26番４－101・102・202・301・302・401・402・ 501・502号,特区民泊,VACATION INN KAMATA Ⅰ(バケーション・イン蒲田Ⅰ）
"大田区蒲田四丁目27番４－101・102・201～203・301～303・401
～403・501～503号",特区民泊,ＫＡＲＩＯ  ＫＡＭＡＴＡ
"大田区蒲田四丁目31番６－101～103・201～205・301～305・401
～404・501～503号",特区民泊,TOKYO KAMATA 4316
大田区蒲田四丁目31番12－201号,特区民泊,シティプラザ蒲田
大田区蒲田四丁目43番13－402号,特区民泊,Litter Forest
大田区蒲田五丁目４番４号（２階）,特区民泊,イルカ  イルカ  ハウス
大田区蒲田五丁目21番１号（３階から５階）,特区民泊,YU`S HOUSE
大田区蒲田本町二丁目４番４－101・201・301・401・501・601・701号,特区民泊,Gamadasビル
大田区蒲田本町二丁目６番２号,特区民泊,May Guest House
大田区蒲田本町二丁目６番10号,特区民泊,KAMATA ANN
大田区新蒲田一丁目３番１－101号,特区民泊,ルミエール泉
大田区大森東四丁目23番2号,簡易宿所,旅の宿  大森倉庫別館
大田区大森東四丁目23番2号,簡易宿所,旅の宿  大森倉庫
大田区大森西二丁目11番21号,旅館・ホテル,Cosmo House
大田区大森西二丁目32番1号,簡易宿所,ＧＵＥＳＴ  ＨＯＵＳＥ  ＳＨＩＥ  ＳＨＩＭＩ
大田区大森西三丁目32番7号,旅館・ホテル,ホテルビジネスヴィラ大森
大田区大森北一丁目1番4号,旅館・ホテル,アパホテル<大森駅前>
大田区大森北一丁目1番7号,旅館・ホテル,ＨＯＴＥＬ  ＢＡＲ  ＧＲＡＮＴｉＯＳ  別邸
大田区大森北一丁目6番16号,旅館・ホテル,大森東急ＲＥＩホテル
大田区大森北一丁目23番8号,旅館・ホテル,東横INN大森
大田区大森北一丁目27番10号,旅館・ホテル,ホテルデュオ
大田区大森北一丁目28番4号,旅館・ホテル,旅館ピュア
大田区大森北一丁目34番16号,簡易宿所,カプセルホテル＆サウナみづほ
大田区大森北二丁目16番1号,旅館・ホテル,ホテル  パリオ
大田区大森北二丁目16番6号,旅館・ホテル,カイガン物語
大田区大森北二丁目17番5号,旅館・ホテル,エレガンス
大田区大森北二丁目17番8号,旅館・ホテル,AROMA  GARU（アロマ  ガル）
大田区大森本町一丁目2番10号,旅館・ホテル,Tmark City Hotel TOKYO OMORI
大田区大森本町二丁目17番8号,簡易宿所,Ｔハウス
大田区平和島四丁目2番15号,旅館・ホテル,大田区青少年交流センター
大田区北馬込二丁目31番1号,旅館・ホテル,ホテル  ステイシード
大田区北馬込二丁目31番6号,旅館・ホテル,東京イン
大田区中央二丁目7番2号,旅館・ホテル,大森ハッピースマイルホテル
大田区中央八丁目31番4号,簡易宿所,万雅家和
大田区池上一丁目2番1号,旅館・ホテル,朗峰会館
大田区東糀谷二丁目11番18号,旅館・ホテル,変なホテル東京 羽田
大田区東糀谷三丁目1番6号,簡易宿所,Guesthouse扇子
大田区東糀谷三丁目12番8号,旅館・ホテル,羽田イン
大田区西糀谷三丁目28番9号,旅館・ホテル,Numero Uno Tokyo
大田区西糀谷三丁目30番13号,簡易宿所,ＨＩＳＡＹＯ’Ｓ  ＩＮＮ
大田区羽田旭町4番11号,旅館・ホテル,ホテルＪＡＬシティ羽田東京
大田区羽田旭町4番16号,旅館・ホテル,ホテルＪＡＬシティ 羽田 東京 ウエスト ウイング
大田区羽田一丁目1番7号,旅館・ホテル,東横イン羽田空港Ⅱ
大田区羽田一丁目2番1号,旅館・ホテル,東横イン羽田空港Ⅰ
大田区羽田一丁目6番6号,簡易宿所,H2O STAY 羽田
大田区羽田一丁目15番16号,簡易宿所,BeagleTokyo Hostel & Apartments
大田区羽田三丁目2番8号,簡易宿所,328  HOSTEL＆LOUNGE
大田区羽田四丁目4番13号,旅館・ホテル,ビジネスホテル  梅月
大田区羽田四丁目5番1号,簡易宿所,ＨＯＳＴＥＬ  ＢｏｏｋＣａｆｅはねだぷりん
大田区羽田四丁目14番4号,旅館・ホテル,京急ＥＸイン 羽田・穴守稲荷駅前
大田区羽田五丁目1番13号,旅館・ホテル,ホテルマイステイズ羽田
大田区羽田五丁目5番14号,旅館・ホテル,京急ＥＸイン羽田
大田区羽田五丁目13番4号,簡易宿所,IKIDANE Cozy Hotel 羽田空港
大田区羽田五丁目22番5号,旅館・ホテル,エアポート イン
大田区羽田五丁目23番5号,簡易宿所,plat hostel keikyu haneda home
大田区羽田五丁目23番7号,旅館・ホテル,Ｔｈｅａｔｅｌ  Ｈａｎｅｄａ
大田区羽田空港一丁目1番4号,旅館・ホテル,京急ＥＸイン羽田イノベーションシティ
大田区羽田空港二丁目6番5号,旅館・ホテル,ザ  ロイヤルパークホテル  東京羽田
大田区羽田空港二丁目7番1号,旅館・ホテル,住友不動産ホテル  ヴィラフォンテーヌ  プレミア  羽田空港
大田区羽田空港二丁目7番1号,旅館・ホテル,住友不動産ホテル  ヴィラフォンテーヌ  グランド  羽田空港
大田区羽田空港三丁目3番2号,簡易宿所,ファーストキャビン羽田ターミナル１
大田区羽田空港三丁目4番2号,旅館・ホテル,羽田エクセルホテル東急
大田区萩中三丁目6番9号,旅館・ホテル,hotel MONday 羽田空港
大田区東六郷二丁目14番14号,旅館・ホテル,ＴＨＥ  ＣＡＮＡＡＮ  ＨＯＴＥＬ
大田区西六郷四丁目16番16号,簡易宿所,晴友館
大田区仲六郷四丁目13番8号,簡易宿所,太陽館
大田区仲六郷四丁目17番6号,簡易宿所,太陽荘新館
大田区仲六郷四丁目18番1号,簡易宿所,ながら館
大田区仲六郷四丁目18番1号,簡易宿所,旅館おおさわ
大田区仲六郷四丁目18番3号,簡易宿所,第一岐阜館
大田区仲六郷四丁目20番6号,簡易宿所,RUMa Inn 六郷土手
大田区東矢口三丁目21番13号,簡易宿所,H2O STAY 蒲田Ⅱ
大田区東矢口三丁目21番13号,簡易宿所,H2O STAY 蒲田Ⅰ
大田区東蒲田二丁目17番3号,簡易宿所,Ｊａｐａｎ  Ｈｏｓｔｅｌ  深夜特急
大田区東蒲田二丁目35番6号,簡易宿所,Haneda Family Hostel
大田区南蒲田一丁目3番15号,旅館・ホテル,ホテルオリエンタルエクスプレス東京蒲田
大田区南蒲田一丁目25番13号,旅館・ホテル,リリーフプレミアム羽田
大田区西蒲田五丁目18番18号,旅館・ホテル,Minn蒲田（Minn  Kamata)
大田区西蒲田五丁目19番17号,旅館・ホテル,スーパーホテル東京・ＪＲ蒲田西口
大田区西蒲田六丁目36番16号,旅館・ホテル,ホテル  ｔｈｅ  Ｌｉｐ
大田区西蒲田七丁目3番7号,旅館・ホテル,シティホテル  弘城
大田区西蒲田七丁目4番11号,旅館・ホテル,ホテルアマネク蒲田駅前
大田区西蒲田七丁目4番12号,旅館・ホテル,ＳＰＡ  ＆  ＨＯＴＥＬ  和  なごみ
大田区西蒲田七丁目21番5号,旅館・ホテル,ホテル  トムス
大田区西蒲田七丁目24番6号,旅館・ホテル,ロッシェル
大田区西蒲田七丁目24番7号,旅館・ホテル,レッドルーフ  イン蒲田／羽田  東京
大田区西蒲田七丁目25番10号,旅館・ホテル,アーバイン東京・羽田蒲田
大田区西蒲田七丁目30番5号,旅館・ホテル,ホテルアジール東京蒲田
大田区西蒲田七丁目33番10号,旅館・ホテル,ホテル  パール
大田区西蒲田七丁目33番10号,旅館・ホテル,ホテル  ロイヤル
大田区西蒲田七丁目34番2号,旅館・ホテル,アパホテル〈蒲田駅西〉
大田区西蒲田七丁目40番4号,旅館・ホテル,ホテル  アミ
大田区西蒲田七丁目42番10号,旅館・ホテル,ホテル ラムセスリゾート
大田区西蒲田七丁目46番7号,簡易宿所,イージーステイ蒲田
大田区西蒲田七丁目49番5号,旅館・ホテル,西鉄イン蒲田
大田区西蒲田八丁目7番7号,旅館・ホテル,東横イン蒲田Ⅰ
大田区西蒲田八丁目11番7号,旅館・ホテル,くらしの友蒲田総合斎場
大田区西蒲田八丁目20番11号,旅館・ホテル,チサンホテル蒲田
大田区蒲田三丁目10番24号,旅館・ホテル,HOTEL  relaxing
大田区蒲田三丁目15番12号,旅館・ホテル,アイホテル京急蒲田
大田区蒲田三丁目18番2号,旅館・ホテル,ホテルルートイン東京蒲田
大田区蒲田三丁目19番1号,旅館・ホテル,ホテルシンシア東京蒲田
大田区蒲田四丁目5番2号,旅館・ホテル,ルミネンホテル
大田区蒲田四丁目18番24号,旅館・ホテル,アイ ホテル京急蒲田駅前
大田区蒲田四丁目22番7号,旅館・ホテル,ホテル  ビラ  センメイ
大田区蒲田四丁目23番1号,旅館・ホテル,東急ステイ蒲田
大田区蒲田四丁目23番13号,旅館・ホテル,チサンイン蒲田
大田区蒲田五丁目2番8号,旅館・ホテル,ホテル  オズ
大田区蒲田五丁目2番9号,旅館・ホテル,ホテル  とき
大田区蒲田五丁目2番9号,旅館・ホテル,ホテル彩  蒲田店
大田区蒲田五丁目5番3号,旅館・ホテル,ホテル  オーク
大田区蒲田五丁目6番3号,旅館・ホテル,ビジネスホテル  ソーシャル
大田区蒲田五丁目6番6号,旅館・ホテル,ミヤビイン蒲田
大田区蒲田五丁目6番14号,旅館・ホテル,ホテル  ラピス
大田区蒲田五丁目6番14号,旅館・ホテル,ビジネスホテル  オークイン３
大田区蒲田五丁目9番13号,旅館・ホテル,ビジネス イン 和
大田区蒲田五丁目9番19号,旅館・ホテル,グランパークホテル  パネックス東京
大田区蒲田五丁目10番2号,旅館・ホテル,日港福会館
大田区蒲田五丁目18番4号,旅館・ホテル,東横イン蒲田東口
大田区蒲田五丁目19番3号,旅館・ホテル,ロイヤルタヒチ
大田区蒲田五丁目19番12号,旅館・ホテル,相鉄フレッサイン 東京蒲田
大田区蒲田五丁目20番5号,簡易宿所,カプセルイン蒲田
大田区蒲田五丁目23番1号,旅館・ホテル,Ｒ＆Ｂホテル蒲田東口
大田区蒲田五丁目24番4号,簡易宿所,ナインアワーズ蒲田
大田区蒲田五丁目24番9号,旅館・ホテル,ニューアリス
大田区蒲田五丁目28番18号,旅館・ホテル,京急ＥＸイン蒲田
大田区蒲田五丁目31番5号,旅館・ホテル,アパホテル〈蒲田駅東〉
大田区蒲田五丁目46番5号,旅館・ホテル,ホテルマイステイズ蒲田
大田区蒲田本町二丁目27番4号,旅館・ホテル,さくらすてい京急蒲田
